sample_name,library,filename,filename2,library_ID
RIAIL_65,CB-1,RIAIL_65_S443_L005_R1_001.fastq.gz,RIAIL_65_S443_L005_R2_001.fastq.gz,RIAIL_65:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_66,CB-1,RIAIL_66_S444_L005_R1_001.fastq.gz,RIAIL_66_S444_L005_R2_001.fastq.gz,RIAIL_66:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_67,CB-1,RIAIL_67_S445_L005_R1_001.fastq.gz,RIAIL_67_S445_L005_R2_001.fastq.gz,RIAIL_67:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_68,CB-1,RIAIL_68_S446_L005_R1_001.fastq.gz,RIAIL_68_S446_L005_R2_001.fastq.gz,RIAIL_68:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_69,CB-1,RIAIL_69_S447_L005_R1_001.fastq.gz,RIAIL_69_S447_L005_R2_001.fastq.gz,RIAIL_69:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_70,CB-1,RIAIL_70_S448_L005_R1_001.fastq.gz,RIAIL_70_S448_L005_R2_001.fastq.gz,RIAIL_70:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_71,CB-1,RIAIL_71_S449_L005_R1_001.fastq.gz,RIAIL_71_S449_L005_R2_001.fastq.gz,RIAIL_71:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_72,CB-1,RIAIL_72_S450_L005_R1_001.fastq.gz,RIAIL_72_S450_L005_R2_001.fastq.gz,RIAIL_72:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_73,CB-1,RIAIL_73_S451_L005_R1_001.fastq.gz,RIAIL_73_S451_L005_R2_001.fastq.gz,RIAIL_73:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_74,CB-1,RIAIL_74_S452_L005_R1_001.fastq.gz,RIAIL_74_S452_L005_R2_001.fastq.gz,RIAIL_74:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_75,CB-1,RIAIL_75_S453_L005_R1_001.fastq.gz,RIAIL_75_S453_L005_R2_001.fastq.gz,RIAIL_75:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_76,CB-1,RIAIL_76_S454_L005_R1_001.fastq.gz,RIAIL_76_S454_L005_R2_001.fastq.gz,RIAIL_76:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_77,CB-1,RIAIL_77_S455_L005_R1_001.fastq.gz,RIAIL_77_S455_L005_R2_001.fastq.gz,RIAIL_77:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_78,CB-1,RIAIL_78_S456_L005_R1_001.fastq.gz,RIAIL_78_S456_L005_R2_001.fastq.gz,RIAIL_78:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_79,CB-1,RIAIL_79_S457_L005_R1_001.fastq.gz,RIAIL_79_S457_L005_R2_001.fastq.gz,RIAIL_79:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_80,CB-1,RIAIL_80_S458_L005_R1_001.fastq.gz,RIAIL_80_S458_L005_R2_001.fastq.gz,RIAIL_80:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_81,CB-1,RIAIL_81_S459_L005_R1_001.fastq.gz,RIAIL_81_S459_L005_R2_001.fastq.gz,RIAIL_81:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_82,CB-1,RIAIL_82_S460_L005_R1_001.fastq.gz,RIAIL_82_S460_L005_R2_001.fastq.gz,RIAIL_82:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_84,CB-1,RIAIL_84_S461_L005_R1_001.fastq.gz,RIAIL_84_S461_L005_R2_001.fastq.gz,RIAIL_84:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_85,CB-1,RIAIL_85_S462_L005_R1_001.fastq.gz,RIAIL_85_S462_L005_R2_001.fastq.gz,RIAIL_85:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_86,CB-1,RIAIL_86_S463_L005_R1_001.fastq.gz,RIAIL_86_S463_L005_R2_001.fastq.gz,RIAIL_86:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_87,CB-1,RIAIL_87_S464_L005_R1_001.fastq.gz,RIAIL_87_S464_L005_R2_001.fastq.gz,RIAIL_87:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_88,CB-1,RIAIL_88_S465_L005_R1_001.fastq.gz,RIAIL_88_S465_L005_R2_001.fastq.gz,RIAIL_88:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_89,CB-1,RIAIL_89_S466_L005_R1_001.fastq.gz,RIAIL_89_S466_L005_R2_001.fastq.gz,RIAIL_89:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_90,CB-1,RIAIL_90_S467_L005_R1_001.fastq.gz,RIAIL_90_S467_L005_R2_001.fastq.gz,RIAIL_90:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_91,CB-1,RIAIL_91_S468_L005_R1_001.fastq.gz,RIAIL_91_S468_L005_R2_001.fastq.gz,RIAIL_91:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_92,CB-1,RIAIL_92_S469_L005_R1_001.fastq.gz,RIAIL_92_S469_L005_R2_001.fastq.gz,RIAIL_92:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_93,CB-1,RIAIL_93_S470_L005_R1_001.fastq.gz,RIAIL_93_S470_L005_R2_001.fastq.gz,RIAIL_93:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_94,CB-1,RIAIL_94_S471_L005_R1_001.fastq.gz,RIAIL_94_S471_L005_R2_001.fastq.gz,RIAIL_94:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_95,CB-1,RIAIL_95_S472_L005_R1_001.fastq.gz,RIAIL_95_S472_L005_R2_001.fastq.gz,RIAIL_95:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_96,CB-1,RIAIL_96_S473_L005_R1_001.fastq.gz,RIAIL_96_S473_L005_R2_001.fastq.gz,RIAIL_96:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_97,CB-1,RIAIL_97_S474_L005_R1_001.fastq.gz,RIAIL_97_S474_L005_R2_001.fastq.gz,RIAIL_97:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_98,CB-2,RIAIL_98_S475_L006_R1_001.fastq.gz,RIAIL_98_S475_L006_R2_001.fastq.gz,RIAIL_98:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_99,CB-2,RIAIL_99_S476_L006_R1_001.fastq.gz,RIAIL_99_S476_L006_R2_001.fastq.gz,RIAIL_99:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_100,CB-2,RIAIL_100_S477_L006_R1_001.fastq.gz,RIAIL_100_S477_L006_R2_001.fastq.gz,RIAIL_100:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_101,CB-2,RIAIL_101_S478_L006_R1_001.fastq.gz,RIAIL_101_S478_L006_R2_001.fastq.gz,RIAIL_101:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_102,CB-2,RIAIL_102_S479_L006_R1_001.fastq.gz,RIAIL_102_S479_L006_R2_001.fastq.gz,RIAIL_102:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_103,CB-2,RIAIL_103_S480_L006_R1_001.fastq.gz,RIAIL_103_S480_L006_R2_001.fastq.gz,RIAIL_103:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_104,CB-2,RIAIL_104_S481_L006_R1_001.fastq.gz,RIAIL_104_S481_L006_R2_001.fastq.gz,RIAIL_104:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_105,CB-2,RIAIL_105_S482_L006_R1_001.fastq.gz,RIAIL_105_S482_L006_R2_001.fastq.gz,RIAIL_105:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_106,CB-2,RIAIL_106_S483_L006_R1_001.fastq.gz,RIAIL_106_S483_L006_R2_001.fastq.gz,RIAIL_106:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_107,CB-2,RIAIL_107_S484_L006_R1_001.fastq.gz,RIAIL_107_S484_L006_R2_001.fastq.gz,RIAIL_107:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_108,CB-2,RIAIL_108_S485_L006_R1_001.fastq.gz,RIAIL_108_S485_L006_R2_001.fastq.gz,RIAIL_108:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_109,CB-2,RIAIL_109_S486_L006_R1_001.fastq.gz,RIAIL_109_S486_L006_R2_001.fastq.gz,RIAIL_109:CB-2:paired:WGS:IlluminaHiSeq4000
