,mean,CI2.5%,CI97.5%
104,0.016201952047689667,-0.07575957556366991,0.23737873137528936
105,-0.18474429019889263,-0.22282787184659367,-0.05441252060532515
106,-0.18025476273236674,-0.2103493063601661,-0.09007187063616166
107,-0.17465237954738813,-0.22652992481489864,-0.03045221388828673
108,-0.1908320955927066,-0.22655176937708907,-0.07570775590255052
109,-0.17557433771142328,-0.21914491231652203,-0.05737273287084863
110,-0.18780120796219987,-0.23069396100276507,-0.059827899332867376
111,-0.1777974895462981,-0.22422793993552018,-0.054192569978350084
112,-0.1338815737012995,-0.2191496434365277,0.10577744203141308
113,-0.2173812627034758,-0.33747171749626076,0.138839160326314
114,-0.30117617504712224,-0.36562317395877586,-0.14272364229041906
115,-0.02134719887160271,-0.0759345267013002,0.1970331309099234
116,-0.0705759245409273,-0.1226222246657479,0.0611066920732277
117,-0.0205873442183295,-0.0880166061578544,0.17781484898340982
118,0.04922260480204007,-0.008111149925160072,0.19174550379581168
119,0.15147232562595314,0.09684874728522441,0.2897409765753057
120,0.08860690295655288,0.03762572919816681,0.21822057481343557
121,-0.17944996324856022,-0.2278473729653933,-0.03760693818471442
122,0.1328525542933676,0.0747755193780107,0.26681039290785424
123,0.12522039405836885,0.07580343544771,0.25746393381485144
124,-0.0626770738638004,-0.10962450541060538,0.07450046020054625
125,0.04939206711856061,0.009823618852430507,0.19304920854303184
126,-0.15964165551621945,-0.2278482449931092,0.003917981238145257
127,0.14285257223633638,0.0989512059828409,0.3108542947515582
128,0.11078486763168902,0.05551016748337478,0.25358753366745235
129,-0.14948345798266838,-0.196626450527786,0.010656724806153864
130,-0.06712843007371179,-0.11438655737768089,0.07376538835665411
131,0.16606396467626566,0.06983713996209487,0.39332429781742234
132,0.10833285041773405,0.05878807881221847,0.2554304958909465
133,0.10956387640462144,0.06699494273758662,0.24003293545643525
134,0.22215882541956952,0.1792940062432048,0.3490097055061732
135,-0.08571623277774329,-0.1388219461403796,0.04898573554341361
136,-0.21534507467794284,-0.26257934065016236,-0.09711712029587721
137,0.18844219601502374,0.14212480980003966,0.3203126314823576
138,0.23949376837294115,0.1394755682211765,0.4982320167732936
139,0.0615813758096645,-0.0004429453331248334,0.20608592521379104
140,-0.09238030362169773,-0.17132488660921164,0.10131125545966092
141,-0.11359123776457461,-0.16824113090332127,0.0225350826586564
142,0.013238643494108764,-0.03412530962349432,0.13416493700486665
143,-0.36235659928675157,-0.4377018895358014,-0.12238743568992178
144,-0.07319762046506623,-0.17629428010470288,0.1817528549443928
145,0.09586946547639194,0.04540152877684271,0.23504077774408197
146,0.11645023232361953,0.07310647705858123,0.287433709458359
147,0.14458122768100248,0.10366425584643509,0.2794907273417739
148,-0.06903187318623483,-0.12846885295141697,0.09122429465136624
149,-0.10127008900414396,-0.16469200310793036,0.04233346927779992
150,-0.037644665489139494,-0.1002441519454981,0.0898056818524067
151,0.0024017170845834594,-0.05352673717271231,0.1577800394498572
152,0.014324177249943977,-0.02539339071799719,0.13761074837530535
