Mutant haplotype,mean,CI2.5%,CI97.5%
38_mut2,-0.019894402443582173,-0.27897214293806816,0.2503495062791936
39_mut1,-0.013384770347157161,-0.1248407880873989,0.0698295336305352
40_mut1,-0.016364787348412,-0.17791799991159507,0.10582124331165248
41_mut1,-0.0005268171794752541,-0.11260707793492089,0.12307859969715533
41_mut2,-0.02766486143839643,-0.24281962053723052,0.1548825087583291
42_mut1,0.02376575054428605,-0.08532339658283099,0.23826423718531053
43_mut1,0.0035090861271497302,-0.1119343195234892,0.13787229115958274
44_mut1,0.037727151727607815,-0.06377495286596731,0.2735833665463774
45_mut1,-0.024328324800488608,-0.15920014750682343,0.060053721135188455
46_mut1,-0.004806510167867361,-0.1341029422074584,0.12535085373768556
47_mut1,-0.11317574746816372,-0.3249466420170269,0.030260813273238422
47_mut2,0.006968088128357147,-0.10736906463913011,0.16334453466300736
48_mut1,-0.03348314116555797,-0.16448032268643126,0.0685960363069309
49_mut1,-0.03324076206714617,-0.1759783414433107,0.04666695435786193
50_mut1,-0.019599183727378434,-0.13858604825431883,0.059557894827828674
51_mut1,0.0070293462577729155,-0.07914442594258228,0.1316800169605635
52_mut1,0.03172839592023268,-0.054546194482382286,0.218796448908306
53_mut1,-0.009952903451628635,-0.11111050572742077,0.09367516350584262
54_mut1,-0.01599834438682223,-0.15580495535417738,0.08661301868231346
55_mut1,0.008260615388131401,-0.09706191517316241,0.16636238020456967
56_mut1,0.01738747702147116,-0.08721398738515153,0.1991841346054248
56_mut2,-0.05567089491415967,-0.30976997844899845,0.13318121490737345
57_mut1,-0.16643325888720656,-0.4210886001794639,0.003924154235153638
58_mut1,-0.04405957996783485,-0.20610288214427513,0.03894110904903164
59_mut1,-0.010530539787817756,-0.12573579083820816,0.080303909715057
60_mut1,0.0032977330404421264,-0.09481467889256928,0.11907049352422013
61_mut1,0.012990922674298286,-0.07752510057785687,0.15708681719469428
62_mut1,-0.015224758864212257,-0.14267190453621761,0.06494397758546654
63_mut1,-0.05310562228817104,-0.24682163303562915,0.03634883065093593
64_mut1,-0.012317446855629409,-0.20259591626789134,0.1981049669603551
65_mut1,0.017594199548977837,-0.07511447152226965,0.16832659826447954
66_mut1,-0.012873945260972656,-0.14960296268408224,0.08485149454680502
67_mut1,-0.020795056789960808,-0.1677302770359046,0.07177748897325278
68_mut1,0.010193011935747879,-0.07728877586026803,0.14200832730237134
69_mut1,-0.016903542259592008,-0.14991712026412132,0.08330829277261859
70_mut1,-0.03200972544195062,-0.21131061131912765,0.07211254850281389
71_mut1,-0.008604807880866464,-0.18121841043965908,0.15919890342104423
72_mut1,-0.0279848033068369,-0.2993763021402402,0.21569863762986996
72_mut2,-0.07648519705818263,-0.3725897242080902,0.14867349716941597
73_mut1,-0.0008843634246601303,-0.10528861770110644,0.1114964972100809
74_mut1,-0.024608995754009197,-0.1682342815588728,0.06186671282292809
75_mut1,0.0282229195868241,-0.059159414537461257,0.19081314437800495
76_mut1,0.00779319810307783,-0.09155892903681931,0.1402031920253408
77_mut1,0.0002562031416239023,-0.12022126164346278,0.13377893638586136
78_mut1,0.0022081247775634096,-0.09354594107377097,0.11841200053358804
79_mut1,-0.030525299639956118,-0.18205491295198076,0.048569628405903335
80_mut1,-0.027432241841296546,-0.14721126175036112,0.039886328803423354
81_mut1,-0.0461334110424766,-0.2211921203561116,0.050019084741638305
82_mut1,-0.03391897019021893,-0.19253305953227198,0.0601388041686762
83_mut1,-0.010602539109490147,-0.11842985612943252,0.07698276736611354
84_mut1,-0.026236402069467465,-0.19898867993319777,0.10573235561257999
85_mut1,0.05193960283380768,-0.05692536480200353,0.31316546642446325
86_mut1,0.027245051601963558,-0.06034272416633899,0.17742438909232922
87_mut1,-0.01396565259005114,-0.13597643664034917,0.07409281955363742
88_mut1,-0.006344916203478043,-0.12132406631333963,0.09900906483023264
89_mut1,0.11857409253725457,-0.03778888399945869,0.40084602070930997
90_mut1,-0.010816674269402938,-0.14263184862985975,0.09944711058394765
91_mut1,-0.05070002431503029,-0.25771000316898446,0.12025495209270973
92_mut1,0.009329031673896824,-0.07365686187153776,0.12080613906085584
93_mut1,-9.473205821783072e-05,-0.12628952721965722,0.13276006525685535
94_mut1,0.005529651325143,-0.13214189055142597,0.17690697088791973
95_mut1,-0.005405909327470107,-0.13319666055850726,0.11029010700304867
96_mut1,0.03387884071807943,-0.09203285353928609,0.23750579196794186
97_mut1,0.017052291771894067,-0.06331886023423935,0.15236252848014262
98_mut1,-0.03156161819510249,-0.2178028279798516,0.10493586444010482
99_mut1,0.036940803144009056,-0.05888890066583191,0.23761898208643595
100_mut1,-0.0006784443457576669,-0.1061944079626614,0.11971466437292465
101_mut1,-0.025999974888727385,-0.17404745031706956,0.07286532378259108
102_mut1,-0.016646273312514028,-0.13758107177660425,0.07074222193206967
102_mut2,0.024517577670601226,-0.09732855643708647,0.1954522210439309
103_mut1,0.00034268384949033787,-0.12730943567345498,0.22369053136874886
