block,sort_plate,well,dil_fact,rand_id,line_id,lawn_note,censor,growth type,well_note,time_washed,date_sort,sorter_source_well,L1_VP604,L1_MA,L1_plus_VP604,L1_plus_MA,source_file,,,,
1,1,E12,5,78,,,,normal,,2:00 PM,4-Jul,E12,1012,897,54,2,20170704_Plate3_acquisition_1.processed,,,,
1,1,F01,5,55,,,,normal,,2:00 PM,4-Jul,F1,1154,578,45,4,20170704_Plate3_acquisition_1.processed,,,,
1,1,F02,5,56,,,,normal,,2:00 PM,4-Jul,F2,536,1270,38,24,20170704_Plate3_acquisition_1.processed,,,,
1,1,F03,5,57,,Partial Lawn,,normal,,2:00 PM,4-Jul,F3,1068,352,268,11,20170704_Plate3_acquisition_1.processed,,,,
1,1,F04,5,58,,,,normal,,2:00 PM,4-Jul,F4,1043,1844,78,88,20170704_Plate3_acquisition_1.processed,,,,
1,1,F05,5,59,,Partial Lawn,,normal,,2:00 PM,4-Jul,F5,970,796,168,53,20170704_Plate3_acquisition_1.processed,,,,
1,1,F06,5,60,,Partial Lawn,,normal,,2:00 PM,4-Jul,F6,1498,223,410,6,20170704_Plate3_acquisition_1.processed,,,,
1,1,F07,5,79,,,,normal,,2:00 PM,4-Jul,F7,555,2046,67,85,20170704_Plate3_acquisition_1.processed,,,,
1,1,F08,5,80,,,,normal,,2:00 PM,4-Jul,F8,1150,2181,87,107,20170704_Plate3_acquisition_1.processed,,,,
1,1,F09,5,81,,Partial Lawn,,normal,,2:00 PM,4-Jul,F9,838,657,185,68,20170704_Plate3_acquisition_1.processed,,,,
1,1,F10,5,82,,,,normal,,2:00 PM,4-Jul,F10,658,1471,56,86,20170704_Plate3_acquisition_1.processed,,,,
1,1,F11,5,83,,Partial Lawn,,normal,,2:00 PM,4-Jul,F11,1102,810,217,71,20170704_Plate3_acquisition_1.processed,,,,
1,1,F12,5,84,,,,normal,,2:00 PM,4-Jul,F12,879,1427,75,38,20170704_Plate3_acquisition_1.processed,,,,
1,1,G01,5,61,,,,normal,,2:00 PM,4-Jul,G1,1549,598,144,4,20170704_Plate3_acquisition_1.processed,,,,
1,1,G02,5,62,,Partial Lawn,,normal,,2:00 PM,4-Jul,G2,613,567,129,39,20170704_Plate3_acquisition_1.processed,,,,
1,1,G03,5,63,,,,normal,,2:00 PM,4-Jul,G3,953,1925,72,93,20170704_Plate3_acquisition_1.processed,,,,
1,1,G04,5,,,,,normal,,2:00 PM,4-Jul,G4,1,6,0,0,20170704_Plate3_acquisition_1.processed,,,,
1,1,G05,5,65,,,,normal,,2:00 PM,4-Jul,G5,876,1723,90,106,20170704_Plate3_acquisition_1.processed,,,,
1,1,G06,5,66,,Partial Lawn,,normal,,2:00 PM,4-Jul,G6,461,794,77,105,20170704_Plate3_acquisition_1.processed,,,,
1,1,G07,10,85,,Partial Lawn,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,C1,356,467,31,8,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,G08,10,86,,Partial Lawn,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,C2,510,544,24,4,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,G09,10,87,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,C3,608,103,197,2,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,G10,10,88,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,C4,624,939,44,38,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,G11,10,89,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,C5,495,598,44,46,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,G12,10,90,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,C6,875,267,208,17,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,H01,5,67,,Partial Lawn,,normal,,2:00 PM,4-Jul,H1,0,2009,45,271,20170704_Plate3_acquisition_1.processed,,,,
1,1,H02,5,68,,Partial Lawn,,normal,,2:00 PM,4-Jul,H2,829,1763,112,104,20170704_Plate3_acquisition_1.processed,,,,
1,1,H03,5,69,,Partial Lawn,,normal,,2:00 PM,4-Jul,H3,4,1833,49,221,20170704_Plate3_acquisition_1.processed,,,,
1,1,H04,5,70,,,,normal,,2:00 PM,4-Jul,H4,767,478,128,34,20170704_Plate3_acquisition_1.processed,,,,
1,1,H05,5,71,,,,normal,,2:00 PM,4-Jul,H5,664,1958,68,73,20170704_Plate3_acquisition_1.processed,,,,
1,1,H06,5,72,,Partial Lawn,,normal,,2:00 PM,4-Jul,H6,944,494,160,36,20170704_Plate3_acquisition_1.processed,,,,
1,1,H07,1,91,,Partial Lawn,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,D1,513,525,106,37,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,H08,1,92,,Partial Lawn,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,D2,549,395,137,15,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,H09,1,93,,Full Lawn,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,D3,456,399,19,10,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,H10,1,94,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,D4,506,285,28,1,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,H11,1,95,,Partial Lawn,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,D5,924,501,109,42,20170704_Plate2_dilution_test2_1.processed,,,,
1,1,H12,1,96,,Full Lawn,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,D6,222,1042,26,71,20170704_Plate2_dilution_test2_1.processed,,,,
1,2,A01,5,97,,,,normal,,2:00 PM,4-Jul,A1,1273,106,71,1,20170704_Plate4_acquisition_1.processed,,,,
1,2,A02,5,98,,,,normal,,2:00 PM,4-Jul,A2,1748,246,70,1,20170704_Plate4_acquisition_1.processed,,,,
1,2,A03,5,99,,,,normal,,2:00 PM,4-Jul,A3,1249,603,85,8,20170704_Plate4_acquisition_1.processed,,,,
1,2,A04,5,100,,,,normal,,2:00 PM,4-Jul,A4,764,814,44,16,20170704_Plate4_acquisition_1.processed,,,,
1,2,A05,5,,,,,normal,,2:00 PM,4-Jul,A5,2,9,1,0,20170704_Plate4_acquisition_1.processed,,,,
1,2,A06,5,102,,,,normal,,2:00 PM,4-Jul,A6,1158,995,66,21,20170704_Plate4_acquisition_1.processed,,,,
1,2,A07,5,121,,,,normal,,2:00 PM,4-Jul,A7,734,531,134,34,20170704_Plate4_acquisition_1.processed,,,,
1,2,A08,5,122,,Full Lawn,,normal,,2:00 PM,4-Jul,A8,329,30,54,4,20170704_Plate4_acquisition_1.processed,,,,
1,2,A09,5,123,,,,normal,,2:00 PM,4-Jul,A9,1012,1443,105,86,20170704_Plate4_acquisition_1.processed,,,,
1,2,A10,5,124,,Partial Lawn,,normal,,2:00 PM,4-Jul,A10,447,548,72,61,20170704_Plate4_acquisition_1.processed,,,,
1,2,A11,5,125,,Partial Lawn,,normal,,2:00 PM,4-Jul,A11,1165,149,357,7,20170704_Plate4_acquisition_1.processed,,,,
1,2,A12,5,126,,Partial Lawn,,normal,,2:00 PM,4-Jul,A12,1280,251,495,17,20170704_Plate4_acquisition_1.processed,,,,
1,2,B01,5,103,,,,normal,,2:00 PM,4-Jul,B1,1144,1089,51,13,20170704_Plate4_acquisition_1.processed,,,,
1,2,B02,5,104,,,,normal,,2:00 PM,4-Jul,B2,744,1127,35,13,20170704_Plate4_acquisition_1.processed,,,,
1,2,B03,5,105,,,,normal,,2:00 PM,4-Jul,B3,1347,671,61,4,20170704_Plate4_acquisition_1.processed,,,,
1,2,B04,5,106,,,,normal,,2:00 PM,4-Jul,B4,2111,52,132,0,20170704_Plate4_acquisition_1.processed,,,,
1,2,B05,5,107,,,,normal,,2:00 PM,4-Jul,B5,797,939,36,7,20170704_Plate4_acquisition_1.processed,,,,
1,2,B06,5,108,,,,normal,,2:00 PM,4-Jul,B6,709,1626,74,34,20170704_Plate4_acquisition_1.processed,,,,
1,2,B07,5,127,,,,normal,,2:00 PM,4-Jul,B7,978,787,66,7,20170704_Plate4_acquisition_1.processed,,,,
1,2,B08,5,128,,,,normal,,2:00 PM,4-Jul,B8,1123,461,53,4,20170704_Plate4_acquisition_1.processed,,,,
1,2,B09,5,129,,Partial Lawn,,normal,,2:00 PM,4-Jul,B9,1379,889,255,26,20170704_Plate4_acquisition_1.processed,,,,
1,2,B10,5,130,,Partial Lawn,,normal,,2:00 PM,4-Jul,B10,707,707,159,110,20170704_Plate4_acquisition_1.processed,,,,
1,2,B11,5,131,,,,normal,,2:00 PM,4-Jul,B11,1413,777,251,24,20170704_Plate4_acquisition_1.processed,,,,
1,2,B12,5,132,,,,normal,,2:00 PM,4-Jul,B12,1318,444,126,11,20170704_Plate4_acquisition_1.processed,,,,
1,2,C01,5,109,,,,normal,,2:00 PM,4-Jul,C1,692,1042,32,21,20170704_Plate4_acquisition_1.processed,,,,
